tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N3764D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3765,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3766,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3767,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3768,2002,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3769L,2002,NA,BOEING,737-832,2,189,NA,Turbo-fan
N376CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N376DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N376DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N376FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N376NW,2002,NA,AIRBUS,A320-212,2,182,NA,Turbo-fan
N37700,2002,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3771K,2002,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3772H,2010,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3773D,2010,NA,BOEING,737-832,2,189,NA,Turbo-fan
N377DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N377DE,2014,NA,BOEING,737-8EH,2,189,NA,Turbo-fan
N377DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N377FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N377NW,2003,NA,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N378DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N378FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N378HA,2015,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N378NW,2003,NA,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378SC,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N379DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N379DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N379FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N379HA,2015,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N380DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N380DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N380FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N380HA,2010,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N381DN,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N381DZ,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N381FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N381HA,2010,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N38257,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N38268,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N382DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N382DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N382FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N382HA,2010,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N383DN,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N383DZ,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N383FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N383HA,2011,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N38403,2001,NA,BOEING,737-924,2,191,NA,Turbo-fan
N38417,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38424,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38443,2010,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38446,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38451,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38454,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38458,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38459,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38467,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38473,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N38479,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N384DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N384DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N384FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N384HA,2011,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N385DN,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N385DZ,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N385FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N385HA,2012,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N386DA,1999,NA,BOEING,737-832,2,189,NA,Turbo-fan
N386DN,2019,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N386FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N386HA,2012,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N38727,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N387DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N387DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N387FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N388DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N388DN,2019,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N388HA,2012,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N38950,2014,NA,BOEING,787-9,2,422,NA,Turbo-fan
N38955,2015,NA,BOEING,787-9,2,422,NA,Turbo-fan
N389DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N389DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N389HA,NA,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N390CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N390DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N390DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N390HA,2013,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N391CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N391DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N391DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N391HA,2013,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N39297,2005,NA,BOEING,737-824,2,149,NA,Turbo-fan
N392DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N392DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N392HA,2013,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N393DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N393DN,2019,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N393HA,2013,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N39415,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39416,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39418,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39423,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39450,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39461,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39463,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N39475,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N394DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N394DL,1995,NA,BOEING,767-324,2,269,NA,Turbo-fan
N394DX,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N395DN,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N395DZ,2019,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N395HA,2013,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N396DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N396DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N396HA,2014,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N39726,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N39728,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N397DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N397DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N398CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N398DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N398DN,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N399DA,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N399HA,2014,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N4005X,2013,NA,AIRBUS,A319-115,2,147,NA,Turbo-fan
N400AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N400WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N401AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N401DZ,2019,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N401UA,1993,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N401WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N401YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N4022J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N402AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N402AS,2012,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N402DX,2019,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N402UA,1993,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N402YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N4032T,2015,NA,AIRBUS,A319-115,2,147,NA,Turbo-fan
N403AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N403AS,2012,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N403DX,2019,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N403UA,1993,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N403WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N403YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N4048J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N404AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N404DX,2019,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N404UA,1993,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N404WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N404YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N4058J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N405AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N405DX,2020,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N405UA,1993,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N405WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N405YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N406AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N406DX,NA,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N406UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N406WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N406YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N407AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N407AS,2012,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N407DX,NA,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N407UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N407WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N407YX,2013,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N408AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N408AS,2012,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N408DX,NA,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N408UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N408WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N408YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N409AA,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N409AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N409DX,2021,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N409UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N409WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N409YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N410AN,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N410DZ,NA,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N410UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N410WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N410YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N41135,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N41140,2000,NA,BOEING,757-224,2,178,NA,Turbo-fan
N411AN,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N411DX,NA,NA,AIRBUS,A330-941,2,442,NA,Turbo-fan
N411UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N411WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N411YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N412UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N412UW,2019,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N412WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N412YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N413AN,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N413AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N413UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N413WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N413YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N414AL,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N414UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N414WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N414YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N415AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N415UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N415WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N415YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N416AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N416UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N416WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N416YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N417AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N417UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N417WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N417YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N418AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N418UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N418WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N418YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N419AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N419AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N419UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N419WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N419YX,2013,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N420AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N420UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N420WN,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N420YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N421LV,2001,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N421UA,1994,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N421UW,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N421YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N422AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N422UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N422WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N422YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N423AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N423AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N423UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N423WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N423YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N424AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N424UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N424WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N424YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N425AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N425LV,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N425UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N425YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N426AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N426UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N426WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N426YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N427AN,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N427UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N427WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N427YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N428AA,2020,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N428AS,2016,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N428UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N428WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N428YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N429AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N429UA,1995,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N429WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N429YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N430AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N430UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N430WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N430YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N431AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N431AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N431UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N431WN,2002,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N431YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N432AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N432UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N432WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N432YX,NA,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N433AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N433AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N433UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N433YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N434AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N434AS,2016,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N434UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N434WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N434YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N435AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N435AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N435UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N435WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N435YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N436AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N436UA,1996,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N436WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N436YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N437AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N437UA,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N437WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N437YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N438AN,2021,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N438UA,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N438WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N438YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N439AN,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N439UA,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N439WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N439YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N440AN,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N440AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N440LV,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N440UA,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N440YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N441UA,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N441UW,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N441WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N441YX,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N442AN,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N442AS,2013,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N442UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N442WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N442YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N443AA,NA,NA,AIRBUS,A321-253NX,2,222,NA,Turbo-fan
N443UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N443WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N443YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N444UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N444WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N444YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N445UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N445WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N445YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N446UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N446WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N446YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N447UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N447WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N447YX,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N448AS,2016,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N448UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N448WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N448YX,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2,88,NA,Turbo-fan
N449UA,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N449WN,2003,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
